id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_spec,cohen_kappa_score,accuracy,prec_score,bal_report,imb_sens_spec_supp,momentum,y,X,alpha,imb_report_0.1,activation,avg_prec_score,imb_sens,imb_spec_micro,tol,matthews_corrcoef,warm_start,confusion_matrix,zero_one_loss,log_loss,rec_score,learning_rate_init,imb_sens_spec_supp_micro,roc_curve,power_t,learning_rate,max_iter,hinge_loss,batch_size,hidden_layer_sizes,solver,imb_report_0.3,fbeta_score,hamming_loss,f1_score,roc_auc_score,pr_curve,imb_sens_micro
CVS,0,2,0.7190013961837644,0.838928155621413,0.6094674556213018,0.7415730337078652,0.6722831472016106,0.3338284367513686,0.6550387596899225,206,132,46,132,178,338,0.5,0.8174603174603174,0.7415730337078652,0.6094674556213018,0.5972850678733032,0.6983050847457627,1.8988764044943822,2.358374067404168,0.3905325443786982,0.6094674556213018,[0.60946746 0.74157303],0.31501700375872554,0.6550387596899225,0.6550387596899225,"              precision    recall  f1-score   support

           0       0.50      0.74      0.60       178
           1       0.82      0.61      0.70       338

    accuracy                           0.66       516
   macro avg       0.66      0.68      0.65       516
weighted avg       0.71      0.66      0.66       516
","(array([0.74157303, 0.60946746]), array([0.60946746, 0.74157303]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.74      0.61      0.60      0.67      0.46       178
          1       0.82      0.61      0.74      0.70      0.67      0.45       338

avg / total       0.71      0.66      0.70      0.66      0.67      0.45       516
",logistic,0.7540294132422933,[0.74157303 0.60946746],0.6550387596899225,0.0001,0.3338284367513686,False,"[[132  46]
 [132 206]]",0.34496124031007747,11.914610425922268,0.6550387596899225,0.001,"(0.6550387596899225, 0.6550387596899225, None)","(array([0.        , 0.25842697, 1.        ]), array([0.        , 0.60946746, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(1,)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.74      0.61      0.60      0.67      0.47       178
          1       0.82      0.61      0.74      0.70      0.67      0.43       338

avg / total       0.71      0.66      0.70      0.66      0.67      0.45       516
",0.6550387596899225,0.3449612403100775,0.6550387596899225,0.6755202446645835,,0.6550387596899225
CVS,1,2,0.7231733262416062,0.8384049611943137,0.6301775147928994,0.7191011235955056,0.6731726071017725,0.3321255157276494,0.6608527131782945,213,128,50,125,178,338,0.5059288537549407,0.8098859315589354,0.7191011235955056,0.6301775147928994,0.5939675174013921,0.7088186356073211,1.944449438202247,2.2434319526627218,0.3698224852071006,0.6301775147928994,[0.63017751 0.71910112],0.3176047397376217,0.6608527131782945,0.6608527131782945,"              precision    recall  f1-score   support

           0       0.51      0.72      0.59       178
           1       0.81      0.63      0.71       338

    accuracy                           0.66       516
   macro avg       0.66      0.67      0.65       516
weighted avg       0.71      0.66      0.67       516
","(array([0.71910112, 0.63017751]), array([0.63017751, 0.71910112]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.72      0.63      0.59      0.67      0.46       178
          1       0.81      0.63      0.72      0.71      0.67      0.45       338

avg / total       0.71      0.66      0.69      0.67      0.67      0.45       516
",logistic,0.7526199656310459,[0.71910112 0.63017751],0.6608527131782945,0.0001,0.3321255157276494,False,"[[128  50]
 [125 213]]",0.3391472868217055,11.713809784846665,0.6608527131782945,0.001,"(0.6608527131782945, 0.6608527131782945, None)","(array([0.        , 0.28089888, 1.        ]), array([0.        , 0.63017751, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(10,)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.72      0.63      0.59      0.67      0.47       178
          1       0.81      0.63      0.72      0.71      0.67      0.44       338

avg / total       0.71      0.66      0.69      0.67      0.67      0.45       516
",0.6608527131782945,0.3391472868217054,0.6608527131782945,0.6746393191942025,,0.6608527131782945
CVS,2,2,0.7190180174190545,0.8353298938650913,0.6390532544378699,0.6910112359550562,0.6645246264738527,0.31419514318244735,0.6569767441860465,216,123,55,122,178,338,0.5020408163265306,0.7970479704797048,0.6910112359550562,0.6390532544378699,0.5815602836879433,0.70935960591133,1.9144409651869592,2.068208714362561,0.36094674556213013,0.6390532544378699,[0.63905325 0.69101124],0.30306452597521516,0.6569767441860465,0.6569767441860465,"              precision    recall  f1-score   support

           0       0.50      0.69      0.58       178
           1       0.80      0.64      0.71       338

    accuracy                           0.66       516
   macro avg       0.65      0.67      0.65       516
weighted avg       0.70      0.66      0.67       516
","(array([0.69101124, 0.63905325]), array([0.63905325, 0.69101124]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.69      0.64      0.58      0.66      0.44       178
          1       0.80      0.64      0.69      0.71      0.66      0.44       338

avg / total       0.70      0.66      0.67      0.67      0.66      0.44       516
",logistic,0.7457902080052863,[0.69101124 0.63905325],0.6569767441860465,0.0001,0.31419514318244735,False,"[[123  55]
 [122 216]]",0.34302325581395354,11.847688759220643,0.6569767441860465,0.001,"(0.6569767441860465, 0.6569767441860465, None)","(array([0.        , 0.30898876, 1.        ]), array([0.        , 0.63905325, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(50,)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.69      0.64      0.58      0.66      0.45       178
          1       0.80      0.64      0.69      0.71      0.66      0.43       338

avg / total       0.70      0.66      0.67      0.67      0.66      0.44       516
",0.6569767441860465,0.3430232558139535,0.6569767441860465,0.6650322451964631,,0.6569767441860465
CVS,3,2,0.7200651552423376,0.8362276379937907,0.6183431952662722,0.7303370786516854,0.6720111329694753,0.3314967585070241,0.6569767441860465,209,130,48,129,178,338,0.5019305019305019,0.8132295719844358,0.7303370786516854,0.6183431952662722,0.5949656750572082,0.7025210084033615,1.9135963766222457,2.2930226824457596,0.38165680473372776,0.6183431952662722,[0.6183432  0.73033708],0.31477702418822395,0.6569767441860465,0.6569767441860465,"              precision    recall  f1-score   support

           0       0.50      0.73      0.59       178
           1       0.81      0.62      0.70       338

    accuracy                           0.66       516
   macro avg       0.66      0.67      0.65       516
weighted avg       0.71      0.66      0.67       516
","(array([0.73033708, 0.6183432 ]), array([0.6183432 , 0.73033708]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.73      0.62      0.59      0.67      0.46       178
          1       0.81      0.62      0.73      0.70      0.67      0.45       338

avg / total       0.71      0.66      0.69      0.67      0.67      0.45       516
",logistic,0.752854972025879,[0.73033708 0.6183432 ],0.6569767441860465,0.0001,0.3314967585070241,False,"[[130  48]
 [129 209]]",0.34302325581395354,11.847677911968683,0.6569767441860465,0.001,"(0.6569767441860465, 0.6569767441860465, None)","(array([0.        , 0.26966292, 1.        ]), array([0.       , 0.6183432, 1.       ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(5, 5)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.73      0.62      0.59      0.67      0.47       178
          1       0.81      0.62      0.73      0.70      0.67      0.44       338

avg / total       0.71      0.66      0.69      0.67      0.67      0.45       516
",0.6569767441860465,0.3430232558139535,0.6569767441860465,0.6743401369589789,,0.6569767441860465
CVS,4,2,0.7198989428894356,0.8338335284927534,0.6272189349112426,0.702247191011236,0.6636736661872907,0.3133425134784516,0.6531007751937985,212,125,53,126,178,338,0.49800796812749004,0.8,0.702247191011236,0.6272189349112426,0.5827505827505828,0.7031509121061361,1.8838059568396648,2.106508875739645,0.3727810650887574,0.6272189349112426,[0.62721893 0.70224719],0.3003151324162171,0.6531007751937985,0.6531007751937985,"              precision    recall  f1-score   support

           0       0.50      0.70      0.58       178
           1       0.80      0.63      0.70       338

    accuracy                           0.65       516
   macro avg       0.65      0.66      0.64       516
weighted avg       0.70      0.65      0.66       516
","(array([0.70224719, 0.62721893]), array([0.62721893, 0.70224719]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.70      0.63      0.58      0.66      0.44       178
          1       0.80      0.63      0.70      0.70      0.66      0.44       338

avg / total       0.70      0.65      0.68      0.66      0.66      0.44       516
",logistic,0.745961194440622,[0.70224719 0.62721893],0.6531007751937985,0.0001,0.3133425134784516,False,"[[125  53]
 [126 212]]",0.3468992248062015,11.981556886342661,0.6531007751937985,0.001,"(0.6531007751937985, 0.6531007751937985, None)","(array([0.        , 0.29775281, 1.        ]), array([0.        , 0.62721893, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(10, 10)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.70      0.63      0.58      0.66      0.45       178
          1       0.80      0.63      0.70      0.70      0.66      0.43       338

avg / total       0.70      0.65      0.68      0.66      0.66      0.44       516
",0.6531007751937985,0.34689922480620156,0.6531007751937985,0.6647330629612394,,0.6531007751937985
CVS,5,2,0.5903862775081443,0.6845620800981349,0.0,1.0,0.0,inf,0.3449612403100775,0,178,0,338,178,338,0.3449612403100775,0.0,1.0,0.0,0.5129682997118156,0.0,1.0,inf,1.0,0.0,[0. 1.],0.0,0.3449612403100775,0.3449612403100775,"              precision    recall  f1-score   support

           0       0.34      1.00      0.51       178
           1       0.00      0.00      0.00       338

    accuracy                           0.34       516
   macro avg       0.17      0.50      0.26       516
weighted avg       0.12      0.34      0.18       516
","(array([1., 0.]), array([0., 1.]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.34      1.00      0.00      0.51      0.00      0.00       178
          1       0.00      0.00      1.00      0.00      0.00      0.00       338

avg / total       0.12      0.34      0.66      0.18      0.00      0.00       516
",logistic,0.6550387596899225,[1. 0.],0.3449612403100775,0.0001,0.0,False,"[[178   0]
 [338   0]]",0.6550387596899225,22.624237250929863,0.3449612403100775,0.001,"(0.3449612403100775, 0.3449612403100775, None)","(array([0., 1.]), array([0., 1.]), array([1, 0]))",0.5,constant,1000,,auto,"(5, 5, 5)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.34      1.00      0.00      0.51      0.00      0.00       178
          1       0.00      0.00      1.00      0.00      0.00      0.00       338

avg / total       0.12      0.34      0.66      0.18      0.00      0.00       516
",0.3449612403100775,0.6550387596899225,0.3449612403100775,0.5,,0.3449612403100775
CVS,6,2,0.7273120138288678,0.8470894673205979,0.5857988165680473,0.7752808988764045,0.6739129269197985,0.3443186654302832,0.6511627906976745,198,138,40,140,178,338,0.49640287769784175,0.8319327731092437,0.7752808988764045,0.5857988165680473,0.6052631578947368,0.6875,1.8717495987158908,2.606804733727811,0.41420118343195267,0.5857988165680473,[0.58579882 0.7752809 ],0.31870195411067426,0.6511627906976745,0.6511627906976745,"              precision    recall  f1-score   support

           0       0.50      0.78      0.61       178
           1       0.83      0.59      0.69       338

    accuracy                           0.65       516
   macro avg       0.66      0.68      0.65       516
weighted avg       0.72      0.65      0.66       516
","(array([0.7752809 , 0.58579882]), array([0.58579882, 0.7752809 ]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",0.1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.78      0.59      0.61      0.67      0.46       178
          1       0.83      0.59      0.78      0.69      0.67      0.45       338

avg / total       0.72      0.65      0.71      0.66      0.67      0.45       516
",logistic,0.7586630634089332,[0.7752809  0.58579882],0.6511627906976745,0.0001,0.3443186654302832,False,"[[138  40]
 [140 198]]",0.34883720930232553,12.048472354614594,0.6511627906976745,0.001,"(0.6511627906976745, 0.6511627906976745, None)","(array([0.       , 0.2247191, 1.       ]), array([0.        , 0.58579882, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(1,)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.78      0.59      0.61      0.67      0.48       178
          1       0.83      0.59      0.78      0.69      0.67      0.43       338

avg / total       0.72      0.65      0.71      0.66      0.67      0.45       516
",0.6511627906976745,0.3488372093023256,0.6511627906976745,0.6805398577222259,,0.6511627906976745
CVS,7,2,0.8297653081577021,0.8992603999330012,0.742603550295858,0.7584269662921348,0.7504735557024353,0.4810413142674775,0.748062015503876,251,135,43,87,178,338,0.6081081081081081,0.8537414965986394,0.7584269662921348,0.742603550295858,0.6749999999999999,0.7943037974683543,2.9465323518016273,3.074033301224714,0.257396449704142,0.742603550295858,[0.74260355 0.75842697],0.4733371019408328,0.748062015503876,0.748062015503876,"              precision    recall  f1-score   support

           0       0.61      0.76      0.67       178
           1       0.85      0.74      0.79       338

    accuracy                           0.75       516
   macro avg       0.73      0.75      0.73       516
weighted avg       0.77      0.75      0.75       516
","(array([0.75842697, 0.74260355]), array([0.74260355, 0.75842697]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",0.1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.76      0.74      0.67      0.75      0.56       178
          1       0.85      0.74      0.76      0.79      0.75      0.56       338

avg / total       0.77      0.75      0.75      0.75      0.75      0.56       516
",logistic,0.8025961175718395,[0.75842697 0.74260355],0.748062015503876,0.0001,0.4810413142674775,False,"[[135  43]
 [ 87 251]]",0.25193798449612403,8.701696345015286,0.748062015503876,0.001,"(0.748062015503876, 0.748062015503876, None)","(array([0.        , 0.24157303, 1.        ]), array([0.        , 0.74260355, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(10,)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.76      0.74      0.67      0.75      0.57       178
          1       0.85      0.74      0.76      0.79      0.75      0.56       338

avg / total       0.77      0.75      0.75      0.75      0.75      0.56       516
",0.748062015503876,0.25193798449612403,0.748062015503876,0.7505152582939965,,0.748062015503876
CVS,8,2,0.8716840635596037,0.9230029800146815,0.7988165680473372,0.8089887640449438,0.8038865766283445,0.5872569087597224,0.8023255813953488,270,144,34,68,178,338,0.6792452830188679,0.8881578947368421,0.8089887640449438,0.7988165680473372,0.7384615384615384,0.8411214953271028,4.021150033046926,4.182039679777236,0.20118343195266275,0.7988165680473372,[0.79881657 0.80898876],0.5815151707906622,0.8023255813953488,0.8023255813953488,"              precision    recall  f1-score   support

           0       0.68      0.81      0.74       178
           1       0.89      0.80      0.84       338

    accuracy                           0.80       516
   macro avg       0.78      0.80      0.79       516
weighted avg       0.82      0.80      0.81       516
","(array([0.80898876, 0.79881657]), array([0.79881657, 0.80898876]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",0.1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.81      0.80      0.74      0.80      0.65       178
          1       0.89      0.80      0.81      0.84      0.80      0.65       338

avg / total       0.82      0.80      0.81      0.81      0.80      0.65       516
",logistic,0.8412581870942666,[0.80898876 0.79881657],0.8023255813953488,0.0001,0.5872569087597224,False,"[[144  34]
 [ 68 270]]",0.19767441860465118,6.827485229832396,0.8023255813953488,0.001,"(0.8023255813953488, 0.8023255813953488, None)","(array([0.        , 0.19101124, 1.        ]), array([0.        , 0.79881657, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(50,)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.81      0.80      0.74      0.80      0.65       178
          1       0.89      0.80      0.81      0.84      0.80      0.64       338

avg / total       0.82      0.80      0.81      0.81      0.80      0.65       516
",0.8023255813953488,0.19767441860465115,0.8023255813953488,0.8039026660461405,,0.8023255813953488
CVS,9,2,0.8081909447510138,0.8832374842387606,0.7041420118343196,0.7696629213483146,0.7361738910559664,0.4519513155320509,0.7267441860465116,238,137,41,100,178,338,0.5780590717299579,0.8530465949820788,0.7696629213483146,0.7041420118343196,0.6602409638554217,0.7714748784440842,2.6014606741573036,3.0570067830855825,0.29585798816568043,0.7041420118343196,[0.70414201 0.76966292],0.4393378953208803,0.7267441860465116,0.7267441860465116,"              precision    recall  f1-score   support

           0       0.58      0.77      0.66       178
           1       0.85      0.70      0.77       338

    accuracy                           0.73       516
   macro avg       0.72      0.74      0.72       516
weighted avg       0.76      0.73      0.73       516
","(array([0.76966292, 0.70414201]), array([0.70414201, 0.76966292]), array([178, 338], dtype=int32))",0.9,[1 1 0 ... 0 0 0],"[[-1.00748295 -0.67888721 -0.28129288 ...  0.33080026 -0.42990115
  -0.74475698]
 [-1.52903925  0.73291907  0.34796022 ...  0.80725035  0.01618527
  -0.42081215]
 [-1.13787202  0.14345356 -0.31485305 ... -0.21371412  2.65215053
   1.37888133]
 ...
 [-1.21037502 -0.06109564 -0.2570633  ... -0.17968197  0.55053314
  -0.90882716]
 [-0.54490502 -0.21588443 -0.217654   ...  1.38140992  0.01489638
   2.13690794]
 [-1.42728721 -0.29301762 -0.31485305 ... -0.23279747  1.19614717
   1.30773411]]",0.1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.58      0.77      0.70      0.66      0.74      0.55       178
          1       0.85      0.70      0.77      0.77      0.74      0.54       338

avg / total       0.76      0.73      0.75      0.73      0.74      0.54       516
",logistic,0.7944643951915,[0.76966292 0.70414201],0.7267441860465116,0.0001,0.4519513155320509,False,"[[137  41]
 [100 238]]",0.2732558139534884,9.437984990653188,0.7267441860465116,0.001,"(0.7267441860465116, 0.7267441860465116, None)","(array([0.        , 0.23033708, 1.        ]), array([0.        , 0.70414201, 1.        ]), array([2, 1, 0]))",0.5,constant,1000,,auto,"(5, 5)",adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.58      0.77      0.70      0.66      0.74      0.55       178
          1       0.85      0.70      0.77      0.77      0.74      0.53       338

avg / total       0.76      0.73      0.75      0.73      0.74      0.54       516
",0.7267441860465116,0.27325581395348836,0.7267441860465116,0.7369024665913171,,0.7267441860465116
