,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_report_0.1,pr_curve,zero_one_loss,y,bal_report,gamma,imb_spec,imb_sens,max_iter,roc_curve,avg_prec_score,hamming_loss,prec_score,kernel,cohen_kappa_score,roc_auc_score,log_loss,hinge_loss,matthews_corrcoef,imb_report_0.3,f1_score,probability,rec_score,X,confusion_matrix,imb_spec_micro,accuracy,imb_sens_micro,imb_sens_spec_supp,C,imb_sens_spec_supp_micro,fbeta_score
0,HOS,0,0,0.825267141888849,0.8950160768323476,0.7778753292361721,0.7063903281519862,0.7412716162652351,0.47035293829944624,0.7537834691501746,886,409,170,253,579,1139,0.6178247734138973,0.8390151515151515,0.7063903281519862,0.7778753292361721,0.6591458501208703,0.8072892938496583,3.1801525050004438,2.6493518566337864,0.2221246707638279,0.7778753292361721,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.71      0.78      0.66      0.74      0.55       579
          1       0.84      0.78      0.71      0.81      0.74      0.55      1139

avg / total       0.76      0.75      0.73      0.76      0.74      0.55      1718
",,0.24621653084982542,[1 1 0 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.62      0.71      0.66       579
           1       0.84      0.78      0.81      1139

    accuracy                           0.75      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.76      0.75      0.76      1718
",0.1,[0.77787533 0.70639033],[0.70639033 0.77787533],-1,"(array([0.        , 0.29360967, 1.        ]), array([0.        , 0.77787533, 1.        ]), array([2, 1, 0]))",0.7999134479873204,0.24621653084982537,0.7537834691501746,rbf,0.4677811287480538,0.742132828694079,8.504096825733615,,0.47035293829944624,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.71      0.78      0.66      0.74      0.54       579
          1       0.84      0.78      0.71      0.81      0.74      0.56      1139

avg / total       0.76      0.75      0.73      0.76      0.74      0.55      1718
",0.7537834691501746,True,0.7537834691501746,"[[-1.5116609   0.74329351  0.34788539 ...  0.02073431  0.01253612
  -0.41187893]
 [-0.34428907 -0.69225501 -0.41509015 ...  0.54923783 -0.72716329
  -0.54725926]
 [-1.12253695  0.14080941 -0.32183758 ... -0.11139156  2.68367289
   1.28037514]
 ...
 [-0.60370503 -0.43326853  0.24001826 ...  0.09277531 -0.29502065
  -0.29832691]
 [ 0.29085151  0.46673239  6.46307452 ... -0.31240126  0.11870617
   1.42883182]
 [ 0.48442679 -0.6399856  -0.31342614 ...  0.03410136  2.42212721
  -0.49260597]]","[[409 170]
 [253 886]]",0.7537834691501746,0.7537834691501746,0.7537834691501746,"(array([0.70639033, 0.77787533]), array([0.77787533, 0.70639033]), array([ 579, 1139], dtype=int32))",0.1,"(0.7537834691501746, 0.7537834691501746, None)",0.7537834691501746
9,HOS,0,1,0.8228607040991325,0.8918318247316642,0.7945566286215979,0.6839378238341969,0.7371752379811003,0.46934622434711265,0.7572759022118742,905,396,183,234,579,1139,0.6285714285714286,0.8318014705882353,0.6839378238341969,0.7945566286215979,0.6550868486352357,0.8127525819488101,3.3290819715690185,2.513925070884728,0.20544337137840207,0.7945566286215979,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.63      0.68      0.79      0.66      0.74      0.54       579
          1       0.83      0.79      0.68      0.81      0.74      0.55      1139

avg / total       0.76      0.76      0.72      0.76      0.74      0.55      1718
",,0.24272409778812576,[1 0 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.63      0.68      0.66       579
           1       0.83      0.79      0.81      1139

    accuracy                           0.76      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.76      0.76      0.76      1718
",0.1,[0.79455663 0.68393782],[0.68393782 0.79455663],-1,"(array([0.        , 0.31606218, 1.        ]), array([0.        , 0.79455663, 1.        ]), array([2, 1, 0]))",0.7971182615593618,0.24272409778812573,0.7572759022118742,rbf,0.46835302132358503,0.7392472262278974,8.383478511645798,,0.46934622434711265,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.63      0.68      0.79      0.66      0.74      0.53       579
          1       0.83      0.79      0.68      0.81      0.74      0.56      1139

avg / total       0.76      0.76      0.72      0.76      0.74      0.55      1718
",0.7572759022118742,True,0.7572759022118742,"[[-1.02048104 -0.7060082  -0.29989073 ...  0.48580944 -0.44388775
  -0.72478365]
 [-1.15169544  0.15145223 -0.33446145 ... -0.12558586  2.6703407
   1.31155758]
 [ 0.94773491 -0.76671336 -0.11839447 ...  0.282011    0.10246812
  -0.48318384]
 ...
 [-0.31987039  0.26662926  0.64339913 ...  0.21407819 -0.39267344
  -0.01600003]
 [-0.12733907 -0.39553107 -0.02070972 ...  0.01027976 -0.11022157
  -0.3493289 ]
 [-0.86957639  1.54379944 -0.41682095 ...  0.07821257  0.93538191
   1.90880273]]","[[396 183]
 [234 905]]",0.7572759022118742,0.7572759022118742,0.7572759022118742,"(array([0.68393782, 0.79455663]), array([0.79455663, 0.68393782]), array([ 579, 1139], dtype=int32))",0.1,"(0.7572759022118742, 0.7572759022118742, None)",0.7572759022118741
18,HOS,0,2,0.8233482086671186,0.8928844003758516,0.7743634767339772,0.6994818652849741,0.735970929530807,0.4602319935718195,0.7491268917345751,882,405,174,257,579,1139,0.6117824773413897,0.8352272727272727,0.6994818652849741,0.7743634767339772,0.6526994359387591,0.8036446469248292,3.1000383056793215,2.5767612243044415,0.2256365232660228,0.7743634767339772,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.70      0.77      0.65      0.74      0.54       579
          1       0.84      0.77      0.70      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.72      0.75      0.74      0.54      1718
",,0.25087310826542486,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.61      0.70      0.65       579
           1       0.84      0.77      0.80      1139

    accuracy                           0.75      1718
   macro avg       0.72      0.74      0.73      1718
weighted avg       0.76      0.75      0.75      1718
",0.1,[0.77436348 0.69948187],[0.69948187 0.77436348],-1,"(array([0.        , 0.30051813, 1.        ]), array([0.        , 0.77436348, 1.        ]), array([2, 1, 0]))",0.7963620442482636,0.2508731082654249,0.7491268917345751,rbf,0.4577155236179933,0.7369226710094757,8.664931173550267,,0.4602319935718195,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.70      0.77      0.65      0.74      0.53       579
          1       0.84      0.77      0.70      0.80      0.74      0.55      1139

avg / total       0.76      0.75      0.72      0.75      0.74      0.55      1718
",0.7491268917345751,True,0.7491268917345751,"[[-1.01403462 -0.69456069 -0.29290584 ...  0.49005039 -0.43759523
  -0.69830516]
 [-1.54158138  0.75762043  0.35462231 ...  0.01129142  0.01439123
  -0.3989909 ]
 [-0.35460116 -0.68707523 -0.42241147 ...  0.55844453 -0.72522297
  -0.53201946]
 ...
 [ 0.43671898 -0.80915203 -0.22507593 ... -0.08074987 -0.68384136
  -0.474616  ]
 [ 2.3508389   0.95660603  4.31163243 ... -0.29556799  0.5246796
  -0.33647748]
 [ 1.50844849 -0.49257368  0.83222918 ... -0.19044014 -0.81487931
  -1.39041261]]","[[405 174]
 [257 882]]",0.7491268917345751,0.7491268917345751,0.7491268917345751,"(array([0.69948187, 0.77436348]), array([0.77436348, 0.69948187]), array([ 579, 1139], dtype=int32))",0.1,"(0.7491268917345751, 0.7491268917345751, None)",0.7491268917345751
27,HOS,0,3,0.8232511626566952,0.8943966542567412,0.7857769973661106,0.696027633851468,0.7395420908992573,0.4700296324553789,0.7555296856810244,895,403,176,244,579,1139,0.6228748068006182,0.8356676003734828,0.696027633851468,0.7857769973661106,0.6574225122349102,0.8099547511312217,3.249079815396812,2.5850277356532843,0.21422300263388938,0.7857769973661106,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.70      0.79      0.66      0.74      0.54       579
          1       0.84      0.79      0.70      0.81      0.74      0.55      1139

avg / total       0.76      0.76      0.73      0.76      0.74      0.55      1718
",,0.2444703143189756,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.62      0.70      0.66       579
           1       0.84      0.79      0.81      1139

    accuracy                           0.76      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.76      0.76      0.76      1718
",0.1,[0.785777   0.69602763],[0.69602763 0.785777  ],-1,"(array([0.        , 0.30397237, 1.        ]), array([0.      , 0.785777, 1.      ]), array([2, 1, 0]))",0.7986739889934039,0.24447031431897556,0.7555296856810244,rbf,0.46828469568370035,0.7409023156087893,8.443787435977997,,0.4700296324553789,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.70      0.79      0.66      0.74      0.53       579
          1       0.84      0.79      0.70      0.81      0.74      0.56      1139

avg / total       0.76      0.76      0.73      0.76      0.74      0.55      1718
",0.7555296856810245,True,0.7555296856810244,"[[-1.01104816 -0.68457228 -0.28944929 ...  0.47590361 -0.44559296
  -0.71141546]
 [-1.53176911  0.71629455  0.33920513 ...  0.02348546  0.00608849
  -0.4076329 ]
 [-0.36014697 -0.67735132 -0.41518018 ...  0.54053477 -0.73302661
  -0.54264737]
 ...
 [-0.07422071 -0.44873096 -0.21445854 ...  0.18275335 -0.61204481
   0.73759018]
 [ 0.59114331 -0.69567401 -0.00267086 ... -0.4110295   0.27517228
   0.05192166]
 [ 0.03039375 -0.2120886  -0.24393392 ...  0.41127245 -1.05957938
  -0.4944125 ]]","[[403 176]
 [244 895]]",0.7555296856810244,0.7555296856810244,0.7555296856810244,"(array([0.69602763, 0.785777  ]), array([0.785777  , 0.69602763]), array([ 579, 1139], dtype=int32))",0.1,"(0.7555296856810244, 0.7555296856810244, None)",0.7555296856810244
36,HOS,0,4,0.82139060867561,0.8924361416079456,0.7892888498683055,0.6925734024179621,0.7393513807682057,0.4709634278099573,0.7566938300349243,899,401,178,240,579,1139,0.625585023400936,0.8347260909935005,0.6925734024179621,0.7892888498683055,0.6573770491803278,0.8113718411552346,3.2868379389752445,2.5674058655828595,0.2107111501316945,0.7892888498683055,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.63      0.69      0.79      0.66      0.74      0.54       579
          1       0.83      0.79      0.69      0.81      0.74      0.55      1139

avg / total       0.76      0.76      0.73      0.76      0.74      0.55      1718
",,0.2433061699650757,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.63      0.69      0.66       579
           1       0.83      0.79      0.81      1139

    accuracy                           0.76      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.76      0.76      0.76      1718
",0.1,[0.78928885 0.6925734 ],[0.6925734  0.78928885],-1,"(array([0.       , 0.3074266, 1.       ]), array([0.        , 0.78928885, 1.        ]), array([2, 1, 0]))",0.7985373187833126,0.24330616996507567,0.7566938300349243,rbf,0.4695031772602428,0.7409311261431337,8.403580245294085,,0.4709634278099573,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.63      0.69      0.79      0.66      0.74      0.53       579
          1       0.83      0.79      0.69      0.81      0.74      0.56      1139

avg / total       0.76      0.76      0.73      0.76      0.74      0.55      1718
",0.7566938300349243,True,0.7566938300349243,"[[-1.01524236e+00 -6.93252582e-01 -2.86243104e-01 ...  4.86177808e-01
  -4.32579806e-01 -6.98211340e-01]
 [-1.54083722e+00  7.01010983e-01  3.38566437e-01 ...  2.93710580e-02
   2.10572660e-02 -3.97477637e-01]
 [-3.58248782e-01 -6.86065656e-01 -4.11205012e-01 ...  5.51435915e-01
  -7.21257943e-01 -5.31137060e-01]
 ...
 [-7.96830109e-01  2.37015816e+00 -3.88692537e-01 ... -5.79305900e-02
   6.54870210e-01  2.56286821e-01]
 [-4.12223412e-01 -2.57838116e-01  1.35681709e+00 ...  3.64380098e-01
  -1.56017257e-01 -8.83225838e-01]
 [-3.60589384e-01  1.98215761e-02 -3.95916406e-01 ... -5.69231324e-04
   1.00894350e+00 -2.00821168e-01]]","[[401 178]
 [240 899]]",0.7566938300349243,0.7566938300349243,0.7566938300349243,"(array([0.6925734 , 0.78928885]), array([0.78928885, 0.6925734 ]), array([ 579, 1139], dtype=int32))",0.1,"(0.7566938300349243, 0.7566938300349243, None)",0.7566938300349243
45,HOS,0,5,0.8244369435965555,0.8941961325776759,0.7857769973661106,0.696027633851468,0.7395420908992573,0.4700296324553789,0.7555296856810244,895,403,176,244,579,1139,0.6228748068006182,0.8356676003734828,0.696027633851468,0.7857769973661106,0.6574225122349102,0.8099547511312217,3.249079815396812,2.5850277356532843,0.21422300263388938,0.7857769973661106,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.70      0.79      0.66      0.74      0.54       579
          1       0.84      0.79      0.70      0.81      0.74      0.55      1139

avg / total       0.76      0.76      0.73      0.76      0.74      0.55      1718
",,0.2444703143189756,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.62      0.70      0.66       579
           1       0.84      0.79      0.81      1139

    accuracy                           0.76      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.76      0.76      0.76      1718
",0.1,[0.785777   0.69602763],[0.69602763 0.785777  ],-1,"(array([0.        , 0.30397237, 1.        ]), array([0.      , 0.785777, 1.      ]), array([2, 1, 0]))",0.7986739889934039,0.24447031431897556,0.7555296856810244,rbf,0.46828469568370035,0.7409023156087893,8.443787435977999,,0.4700296324553789,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.70      0.79      0.66      0.74      0.53       579
          1       0.84      0.79      0.70      0.81      0.74      0.56      1139

avg / total       0.76      0.76      0.73      0.76      0.74      0.55      1718
",0.7555296856810245,True,0.7555296856810244,"[[-1.01855331 -0.68572402 -0.30482642 ...  0.48134679 -0.43981646
  -0.7155875 ]
 [-1.53989369  0.72771903  0.38667305 ...  0.02247929  0.00481814
  -0.41034713]
 [-0.36687783 -0.67843823 -0.44312632 ...  0.54689929 -0.72276575
  -0.54600952]
 ...
 [-0.04281512  0.9342064   0.04831964 ...  0.30033345 -0.39541072
   0.15797005]
 [ 1.36360312  0.77477276 -0.26106435 ... -0.22631081 -0.82877375
  -0.03460438]
 [ 1.38679591  0.08126877 -0.08771385 ...  0.13572501 -0.82692737
   1.35179474]]","[[403 176]
 [244 895]]",0.7555296856810244,0.7555296856810244,0.7555296856810244,"(array([0.69602763, 0.785777  ]), array([0.785777  , 0.69602763]), array([ 579, 1139], dtype=int32))",0.1,"(0.7555296856810244, 0.7555296856810244, None)",0.7555296856810244
54,HOS,0,6,0.8253255211294942,0.8933710523399266,0.7673397717295873,0.7305699481865285,0.748729174851593,0.48032912029129315,0.7549476135040745,874,423,156,265,579,1139,0.6148255813953488,0.8485436893203884,0.7305699481865285,0.7673397717295873,0.6677190213101815,0.805901337021669,3.1400723433375695,2.8480110758425075,0.23266022827041266,0.7673397717295873,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.73      0.77      0.67      0.75      0.56       579
          1       0.85      0.77      0.73      0.81      0.75      0.56      1139

avg / total       0.77      0.75      0.74      0.76      0.75      0.56      1718
",,0.24505238649592553,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.61      0.73      0.67       579
           1       0.85      0.77      0.81      1139

    accuracy                           0.75      1718
   macro avg       0.73      0.75      0.74      1718
weighted avg       0.77      0.75      0.76      1718
",0.1,[0.76733977 0.73056995],[0.73056995 0.76733977],-1,"(array([0.        , 0.26943005, 1.        ]), array([0.        , 0.76733977, 1.        ]), array([2, 1, 0]))",0.8053704477574233,0.2450523864959255,0.7549476135040745,rbf,0.4758862668314974,0.7489548599580579,8.463882188275033,,0.48032912029129315,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.73      0.77      0.67      0.75      0.55       579
          1       0.85      0.77      0.73      0.81      0.75      0.57      1139

avg / total       0.77      0.75      0.74      0.76      0.75      0.56      1718
",0.7549476135040745,True,0.7549476135040745,"[[-1.02345074e+00 -6.96386427e-01 -3.09102266e-01 ...  4.85294313e-01
  -4.42021112e-01 -7.06224143e-01]
 [-1.54833850e+00  7.34621264e-01  4.16327547e-01 ...  1.83422334e-02
   6.86863375e-03 -4.04116602e-01]
 [-3.67341050e-01 -6.89010099e-01 -4.54188229e-01 ...  5.52001753e-01
  -7.27678223e-01 -5.38386621e-01]
 ...
 [-5.95691563e-01 -4.84678964e-01 -3.04076208e-01 ...  1.66469870e-01
  -3.46268059e-01 -3.40024461e-01]
 [-8.60951812e-01  1.33458913e+00 -3.52389693e-01 ...  7.55457160e-02
   7.84198311e-01  7.44442653e-01]
 [ 1.38961745e-01  1.16421917e+00  4.34809907e-02 ...  4.84401835e-04
  -7.92637764e-01  1.97796042e+00]]","[[423 156]
 [265 874]]",0.7549476135040745,0.7549476135040745,0.7549476135040745,"(array([0.73056995, 0.76733977]), array([0.76733977, 0.73056995]), array([ 579, 1139], dtype=int32))",0.1,"(0.7549476135040745, 0.7549476135040745, None)",0.7549476135040745
63,HOS,0,7,0.8223095130868061,0.8933130253273358,0.781387181738367,0.690846286701209,0.7347233717392373,0.4604120762733782,0.7508731082654249,890,400,179,249,579,1139,0.6163328197226502,0.8325537885874649,0.690846286701209,0.781387181738367,0.6514657980456026,0.8061594202898551,3.1601362271191844,2.5275037889749408,0.21861281826163304,0.781387181738367,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.69      0.78      0.65      0.73      0.53       579
          1       0.83      0.78      0.69      0.81      0.73      0.54      1139

avg / total       0.76      0.75      0.72      0.75      0.73      0.54      1718
",,0.24912689173457514,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.62      0.69      0.65       579
           1       0.83      0.78      0.81      1139

    accuracy                           0.75      1718
   macro avg       0.72      0.74      0.73      1718
weighted avg       0.76      0.75      0.75      1718
",0.1,[0.78138718 0.69084629],[0.69084629 0.78138718],-1,"(array([0.        , 0.30915371, 1.        ]), array([0.        , 0.78138718, 1.        ]), array([2, 1, 0]))",0.795482830570495,0.24912689173457508,0.7508731082654249,rbf,0.4586036128238016,0.736116734219788,8.604621318371231,,0.4604120762733782,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.69      0.78      0.65      0.73      0.53       579
          1       0.83      0.78      0.69      0.81      0.73      0.55      1139

avg / total       0.76      0.75      0.72      0.75      0.73      0.54      1718
",0.7508731082654249,True,0.7508731082654249,"[[-0.99984615 -0.68452852 -0.29437436 ...  0.48457015 -0.43714944
  -0.70657337]
 [-1.5165894   0.72771583  0.37370585 ...  0.0283556   0.01403954
  -0.40574938]
 [-0.35391708 -0.67724891 -0.42799041 ...  0.54974365 -0.7242697
  -0.53944893]
 ...
 [ 0.87007698 -0.64294726 -0.20634065 ... -0.04011849 -0.43507221
  -0.54087635]
 [ 1.42510018  0.96399748 -0.16966606 ...  0.00795718 -0.40437715
  -0.86463981]
 [ 0.24973971 -0.52689263 -0.337887   ... -0.22483134  1.21456184
  -0.3080127 ]]","[[400 179]
 [249 890]]",0.7508731082654249,0.7508731082654249,0.7508731082654249,"(array([0.69084629, 0.78138718]), array([0.78138718, 0.69084629]), array([ 579, 1139], dtype=int32))",0.1,"(0.7508731082654249, 0.7508731082654249, None)",0.750873108265425
72,HOS,0,8,0.8251314291086476,0.8952084472751227,0.7708516242317822,0.7184801381692574,0.744205335566769,0.4733526921008925,0.7532013969732246,878,416,163,261,579,1139,0.6144756277695717,0.8434197886647454,0.7184801381692574,0.7708516242317822,0.6624203821656052,0.8055045871559633,3.1354363117807815,2.7381784688969444,0.22914837576821778,0.7708516242317822,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.72      0.77      0.66      0.74      0.55       579
          1       0.84      0.77      0.72      0.81      0.74      0.56      1139

avg / total       0.77      0.75      0.74      0.76      0.74      0.55      1718
",,0.24679860302677536,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.61      0.72      0.66       579
           1       0.84      0.77      0.81      1139

    accuracy                           0.75      1718
   macro avg       0.73      0.74      0.73      1718
weighted avg       0.77      0.75      0.76      1718
",0.1,[0.77085162 0.71848014],[0.71848014 0.77085162],-1,"(array([0.        , 0.28151986, 1.        ]), array([0.        , 0.77085162, 1.        ]), array([2, 1, 0]))",0.8020723521853804,0.2467986030267753,0.7532013969732246,rbf,0.4697847350714274,0.7446658812005198,8.52419762853507,,0.4733526921008925,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.72      0.77      0.66      0.74      0.55       579
          1       0.84      0.77      0.72      0.81      0.74      0.56      1139

avg / total       0.77      0.75      0.74      0.76      0.74      0.56      1718
",0.7532013969732247,True,0.7532013969732246,"[[-0.99658994 -0.69784352 -0.30224162 ...  0.47328006 -0.43867607
  -0.71269297]
 [-1.51224478  0.74045219  0.3603516  ...  0.02655324  0.01661933
  -0.40557867]
 [-0.35202138 -0.69042963 -0.43476026 ...  0.53709818 -0.72840951
  -0.54207392]
 ...
 [ 0.47227436 -0.30710405 -0.09642838 ... -0.16219948 -0.22278097
  -1.05465336]
 [ 0.15721422 -0.20557303 -0.13878384 ...  0.34882164 -1.07401728
  -0.39191515]
 [-0.73876252  0.91131839 -0.01993494 ... -0.03726488  0.1721303
   0.10239263]]","[[416 163]
 [261 878]]",0.7532013969732246,0.7532013969732246,0.7532013969732246,"(array([0.71848014, 0.77085162]), array([0.77085162, 0.71848014]), array([ 579, 1139], dtype=int32))",0.1,"(0.7532013969732246, 0.7532013969732246, None)",0.7532013969732246
81,HOS,0,9,0.8260654969589722,0.8957279330007013,0.7822651448639157,0.7115716753022453,0.746081577082138,0.47992106183122607,0.7584400465657741,891,412,167,248,579,1139,0.6242424242424243,0.8421550094517959,0.7115716753022453,0.7822651448639157,0.6650524616626313,0.8111060537096041,3.268065073263135,2.712164783689864,0.21773485513608426,0.7822651448639157,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.71      0.78      0.67      0.75      0.55       579
          1       0.84      0.78      0.71      0.81      0.75      0.56      1139

avg / total       0.77      0.76      0.74      0.76      0.75      0.56      1718
",,0.24155995343422587,[1 1 1 ... 0 0 0],"              precision    recall  f1-score   support

           0       0.62      0.71      0.67       579
           1       0.84      0.78      0.81      1139

    accuracy                           0.76      1718
   macro avg       0.73      0.75      0.74      1718
weighted avg       0.77      0.76      0.76      1718
",0.1,[0.78226514 0.71157168],[0.71157168 0.78226514],-1,"(array([0.        , 0.28842832, 1.        ]), array([0.        , 0.78226514, 1.        ]), array([2, 1, 0]))",0.8031424103502669,0.24155995343422584,0.7584400465657741,rbf,0.4774180875189288,0.7469184100830805,8.343262943340383,,0.47992106183122607,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.71      0.78      0.67      0.75      0.54       579
          1       0.84      0.78      0.71      0.81      0.75      0.57      1139

avg / total       0.77      0.76      0.74      0.76      0.75      0.56      1718
",0.7584400465657741,True,0.7584400465657741,"[[-1.00501    -0.68266026 -0.29432993 ...  0.48820984 -0.44310313
  -0.71480985]
 [-1.52266931  0.70737215  0.36986406 ...  0.02652277  0.00983935
  -0.40533941]
 [-0.35793586 -0.67549514 -0.42716873 ...  0.55416514 -0.73133926
  -0.54288183]
 ...
 [-0.13087675 -0.32346041 -0.24503895 ... -0.13026966 -0.68317621
  -0.47184531]
 [-0.61621265  0.86595359  0.94023704 ...  0.62096572 -0.04488686
   1.96763459]
 [ 1.57085374 -0.39750914 -0.25269761 ...  0.15866903 -0.59935839
  -0.13704568]]","[[412 167]
 [248 891]]",0.7584400465657741,0.7584400465657741,0.7584400465657741,"(array([0.71157168, 0.78226514]), array([0.78226514, 0.71157168]), array([ 579, 1139], dtype=int32))",0.1,"(0.7584400465657741, 0.7584400465657741, None)",0.7584400465657741
