,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,confusion_matrix,roc_curve,momentum,hinge_loss,avg_prec_score,max_iter,imb_report_0.3,matthews_corrcoef,accuracy,batch_size,pr_curve,imb_sens_spec_supp,prec_score,power_t,learning_rate_init,f1_score,y,imb_spec,bal_report,tol,fbeta_score,imb_sens_micro,activation,hamming_loss,imb_report_0.1,warm_start,learning_rate,log_loss,hidden_layer_sizes,zero_one_loss,alpha,X,imb_spec_micro,roc_auc_score,imb_sens_spec_supp_micro,imb_sens,solver,cohen_kappa_score,rec_score
144,HOS,0,0,0.6892764196240496,0.4908038758694861,0.6447166921898928,0.6438356164383562,0.6442760037004154,0.27537994205732474,0.6441393875395988,421,799,442,232,1241,653,0.7749757516973812,0.48783314020857477,0.6438356164383562,0.6447166921898928,0.7033450704225352,0.5554089709762534,1.8121752479924422,1.8101660973023914,0.3552833078101072,0.6447166921898928,"[[799 442]
 [232 421]]","(array([0.        , 0.35616438, 1.        ]), array([0.        , 0.64471669, 1.        ]), array([2, 1, 0]))",0.9,,0.43700624874931243,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.64      0.70      0.64      0.41      1241
          1       0.49      0.64      0.64      0.56      0.64      0.42       653

avg / total       0.68      0.64      0.64      0.65      0.64      0.42      1894
",0.27537994205732474,0.6441393875395988,auto,,"(array([0.64383562, 0.64471669]), array([0.64471669, 0.64383562]), array([1241,  653]))",0.6441393875395988,0.5,0.001,0.6441393875395988,[1 0 1 ... 1 1 1],[0.64471669 0.64383562],"              precision    recall  f1-score   support

           0       0.77      0.64      0.70      1241
           1       0.49      0.64      0.56       653

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.68      0.64      0.65      1894
",0.0001,0.6441393875395988,0.6441393875395988,logistic,0.3558606124604013,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.64      0.70      0.64      0.42      1241
          1       0.49      0.64      0.64      0.56      0.64      0.42       653

avg / total       0.68      0.64      0.64      0.65      0.64      0.42      1894
",False,constant,12.291176722404407,"(1,)",0.35586061246040124,1.0,"[[ 1.16688757 -0.46947411 -0.22634637 -0.38930486 -0.46096336  0.70574579]
 [-0.19403426 -0.32729272 -0.09693921  3.74897066 -0.89461623 -0.19830633]
 [-0.75185397 -0.01923304 -0.12282064 -0.43246479  0.21637059 -0.1635351 ]
 ...
 [ 0.01255221 -0.355729   -0.22865133  3.16485702 -0.06837748  0.91634328]
 [-0.81058541 -0.34052006 -0.28493283 -0.43519968 -0.89752326 -0.27142312]
 [ 1.18957864 -0.05059648 -0.19551674  0.870177    0.60040097  0.02832211]]",0.6441393875395988,0.6442761543141244,"(0.6441393875395988, 0.6441393875395988, None)",[0.64383562 0.64471669],adam,0.2681246581578305,0.6441393875395988
180,HOS,0,1,0.6886705257949116,0.4887506535172064,0.664624808575804,0.6180499597099114,0.6409144530766047,0.2689355066805422,0.6341077085533263,434,767,474,219,1241,653,0.7778904665314401,0.4779735682819383,0.6180499597099114,0.664624808575804,0.6888190390660082,0.5560538116591928,1.8428612953907404,1.7400830958704068,0.33537519142419603,0.664624808575804,"[[767 474]
 [219 434]]","(array([0.        , 0.38195004, 1.        ]), array([0.        , 0.66462481, 1.        ]), array([2, 1, 0]))",0.9,,0.4333013912180806,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.62      0.66      0.69      0.64      0.41      1241
          1       0.48      0.66      0.62      0.56      0.64      0.42       653

avg / total       0.67      0.63      0.65      0.64      0.64      0.41      1894
",0.2689355066805422,0.6341077085533263,auto,,"(array([0.61804996, 0.66462481]), array([0.66462481, 0.61804996]), array([1241,  653]))",0.6341077085533263,0.5,0.001,0.6341077085533263,[0 1 0 ... 1 1 1],[0.66462481 0.61804996],"              precision    recall  f1-score   support

           0       0.78      0.62      0.69      1241
           1       0.48      0.66      0.56       653

    accuracy                           0.63      1894
   macro avg       0.63      0.64      0.62      1894
weighted avg       0.67      0.63      0.64      1894
",0.0001,0.6341077085533263,0.6341077085533263,logistic,0.36589229144667373,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.62      0.66      0.69      0.64      0.41      1241
          1       0.48      0.66      0.62      0.56      0.64      0.41       653

avg / total       0.67      0.63      0.65      0.64      0.64      0.41      1894
",False,constant,12.637672149342668,"(1,)",0.3658922914466737,1.0,"[[ 1.34633362 -0.13933234 -0.03436498 -0.38869365  0.00554379  0.86428718]
 [ 1.14472226 -0.42305808 -0.22318366 -0.39875205 -0.46991508  0.77462612]
 [-0.18901443 -0.29788496 -0.10517199  3.70004838 -0.90269184 -0.19670198]
 ...
 [ 0.02509688 -0.22124569 -0.14779788 -0.37555734 -0.48376799  0.00661794]
 [-0.54877876 -0.35302129 -0.05362643 -0.19860651  2.24197599  0.38822173]
 [-0.18013243 -0.19207151 -0.18009801 -0.40866418 -0.35142358  0.17227   ]]",0.6341077085533263,0.6413373841428577,"(0.6341077085533263, 0.6341077085533263, None)",[0.61804996 0.66462481],adam,0.2587381387778521,0.6341077085533263
252,HOS,0,2,0.6891246376668522,0.49337538337071174,0.6447166921898928,0.637389202256245,0.6410424776223498,0.2690343585803274,0.6399155227032735,421,791,450,232,1241,653,0.7732160312805474,0.4833524684270953,0.637389202256245,0.6447166921898928,0.6987632508833922,0.5524934383202099,1.7940308149712412,1.7779853666836822,0.3552833078101072,0.6447166921898928,"[[791 450]
 [232 421]]","(array([0.       , 0.3626108, 1.       ]), array([0.        , 0.64471669, 1.        ]), array([2, 1, 0]))",0.9,,0.43411748485956836,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.64      0.70      0.64      0.41      1241
          1       0.48      0.64      0.64      0.55      0.64      0.41       653

avg / total       0.67      0.64      0.64      0.65      0.64      0.41      1894
",0.2690343585803274,0.6399155227032735,auto,,"(array([0.6373892 , 0.64471669]), array([0.64471669, 0.6373892 ]), array([1241,  653]))",0.6399155227032735,0.5,0.001,0.6399155227032735,[0 0 1 ... 1 1 1],[0.64471669 0.6373892 ],"              precision    recall  f1-score   support

           0       0.77      0.64      0.70      1241
           1       0.48      0.64      0.55       653

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.67      0.64      0.65      1894
",0.0001,0.6399155227032735,0.6399155227032735,logistic,0.3600844772967265,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.64      0.70      0.64      0.41      1241
          1       0.48      0.64      0.64      0.55      0.64      0.41       653

avg / total       0.67      0.64      0.64      0.65      0.64      0.41      1894
",False,constant,12.437067222900039,"(1,)",0.36008447729672655,1.0,"[[ 1.29630334 -0.15165415 -0.03785765 -0.38476219 -0.01886382  0.76687869]
 [-0.1971043  -0.32575177 -0.10381455  3.65919936 -0.91405646 -0.20146053]
 [-0.72884793 -0.02795321 -0.12580018 -0.43699048  0.1787634  -0.16736408]
 ...
 [-0.28851868  0.12396695 -0.27267277 -0.56263716 -0.00767535 -0.06125303]
 [-0.52998685 -0.30108095 -0.17442695 -0.58659465  0.11097584  0.0280344 ]
 [-0.30328702 -0.17091489  0.14422738 -0.49960973  2.86875757 -0.16676461]]",0.6399155227032735,0.6410529472230689,"(0.6399155227032735, 0.6399155227032735, None)",[0.6373892  0.64471669],adam,0.26142955978798454,0.6399155227032735
216,HOS,0,3,0.6895898555356607,0.4899565777519902,0.6569678407350689,0.636583400483481,0.6466953085212697,0.2797474193298317,0.643611404435058,429,790,451,224,1241,653,0.7790927021696252,0.4875,0.636583400483481,0.6569678407350689,0.7006651884700664,0.5596868884540117,1.8557542880165763,1.807754080603593,0.34303215926493114,0.6569678407350689,"[[790 451]
 [224 429]]","(array([0.       , 0.3634166, 1.       ]), array([0.        , 0.65696784, 1.        ]), array([2, 1, 0]))",0.9,,0.43854003777545275,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.66      0.70      0.65      0.42      1241
          1       0.49      0.66      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.64      0.65      0.65      0.65      0.42      1894
",0.2797474193298317,0.643611404435058,auto,,"(array([0.6365834 , 0.65696784]), array([0.65696784, 0.6365834 ]), array([1241,  653]))",0.643611404435058,0.5,0.001,0.643611404435058,[0 1 0 ... 1 1 1],[0.65696784 0.6365834 ],"              precision    recall  f1-score   support

           0       0.78      0.64      0.70      1241
           1       0.49      0.66      0.56       653

    accuracy                           0.64      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.64      0.65      1894
",0.0001,0.643611404435058,0.643611404435058,logistic,0.3563885955649419,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.66      0.70      0.65      0.42      1241
          1       0.49      0.66      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.64      0.65      0.65      0.65      0.42      1894
",False,constant,12.309416412357828,"(1,)",0.35638859556494196,1.0,"[[ 1.30797993e+00 -1.44382718e-01 -2.88266889e-02 -3.83080928e-01
   1.86793727e-03  7.98499630e-01]
 [ 1.11066861e+00 -4.49317429e-01 -2.24249862e-01 -3.93243806e-01
  -4.73308048e-01  7.14901708e-01]
 [-1.94621719e-01 -3.14787410e-01 -1.02110379e-01  3.74812914e+00
  -9.05827317e-01 -1.90742437e-01]
 ...
 [ 4.99095501e-01 -1.83953599e-01  1.75463951e-01 -4.20581419e-01
   1.19949625e+00 -6.32491782e-01]
 [ 1.23544471e+00  1.90762851e-01 -1.10851007e-01 -4.75028509e-01
  -6.97421650e-01  8.22813764e-01]
 [ 1.38958769e+00  2.74934546e-01 -1.99821965e-01  5.41035762e-01
   6.29252240e-01  9.33221442e-01]]",0.643611404435058,0.646775620609275,"(0.643611404435058, 0.643611404435058, None)",[0.6365834  0.65696784],adam,0.27121538779014287,0.643611404435058
108,HOS,0,4,0.6808284580063748,0.48304992251687656,1.0,0.0,0.0,inf,0.3447729672650475,653,0,1241,0,1241,653,0.0,0.3447729672650475,0.0,1.0,0.0,0.5127601099332548,inf,1.0,0.0,1.0,"[[   0 1241]
 [   0  653]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",0.9,,0.3447729672650475,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.00      0.00      1.00      0.00      0.00      0.00      1241
          1       0.34      1.00      0.00      0.51      0.00      0.00       653

avg / total       0.12      0.34      0.66      0.18      0.00      0.00      1894
",0.0,0.3447729672650475,auto,,"(array([0., 1.]), array([1., 0.]), array([1241,  653]))",0.3447729672650475,0.5,0.001,0.3447729672650475,[0 1 0 ... 1 1 1],[1. 0.],"              precision    recall  f1-score   support

           0       0.00      0.00      0.00      1241
           1       0.34      1.00      0.51       653

    accuracy                           0.34      1894
   macro avg       0.17      0.50      0.26      1894
weighted avg       0.12      0.34      0.18      1894
",0.0001,0.3447729672650475,0.3447729672650475,logistic,0.6552270327349525,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.00      0.00      1.00      0.00      0.00      0.00      1241
          1       0.34      1.00      0.00      0.51      0.00      0.00       653

avg / total       0.12      0.34      0.66      0.18      0.00      0.00      1894
",False,constant,22.63126388938492,"(1,)",0.6552270327349525,1.0,"[[ 1.31851831 -0.14905666 -0.03234203 -0.3840257  -0.01501088  0.77027105]
 [ 1.11879471 -0.47449397 -0.22481599 -0.39424121 -0.47980321  0.68787989]
 [-0.20245374 -0.33091869 -0.10451976  3.76857992 -0.90287096 -0.20469102]
 ...
 [-0.69419824 -0.1646688  -0.14938142 -0.44428164  0.30265068  0.3342419 ]
 [-0.71319214 -0.39862143 -0.17259041  2.2599242  -0.40763228  0.00647794]
 [ 0.35866896 -0.35963374  0.28349772  0.05328633 -0.57785103  1.10426738]]",0.3447729672650475,0.5,"(0.3447729672650475, 0.3447729672650475, None)",[0. 1.],adam,0.0,0.3447729672650475
72,HOS,0,5,0.6918098209096305,0.49848829299138675,0.6508422664624809,0.6518936341659952,0.6513677381886976,0.28908570584699267,0.6515311510031679,425,809,432,228,1241,653,0.7801350048216008,0.4959159859976663,0.6518936341659952,0.6508422664624809,0.7102721685689202,0.5629139072847683,1.8670462417122584,1.8696649367591178,0.3491577335375191,0.6508422664624809,"[[809 432]
 [228 425]]","(array([0.        , 0.34810637, 1.        ]), array([0.        , 0.65084227, 1.        ]), array([2, 1, 0]))",0.9,,0.4431432321369664,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.50      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",0.28908570584699267,0.6515311510031679,auto,,"(array([0.65189363, 0.65084227]), array([0.65084227, 0.65189363]), array([1241,  653]))",0.6515311510031679,0.5,0.001,0.6515311510031679,[0 1 0 ... 1 1 1],[0.65084227 0.65189363],"              precision    recall  f1-score   support

           0       0.78      0.65      0.71      1241
           1       0.50      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.64      0.65      0.64      1894
weighted avg       0.68      0.65      0.66      1894
",0.0001,0.6515311510031679,0.6515311510031679,logistic,0.3484688489968321,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.50      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",False,constant,12.035870035232787,"(1,)",0.34846884899683206,1.0,"[[ 1.41446617 -0.1558718  -0.03474868 -0.38003373  0.00797248  0.80680718]
 [ 1.20224399 -0.49122543 -0.21807396 -0.3902036  -0.46382381  0.72257742]
 [-0.2016873  -0.3432753  -0.10349566  3.75401924 -0.89326679 -0.18991171]
 ...
 [-0.43884082 -0.49122543 -0.05735259 -0.44091461 -0.43499857  0.07891667]
 [-0.28240736 -0.33273983 -0.30856543 -0.25821183  0.55628865  2.03643734]
 [-0.41277369 -0.31793071 -0.3097366  -0.53719504 -0.20564524 -0.21613929]]",0.6515311510031679,0.651367950314238,"(0.6515311510031679, 0.6515311510031679, None)",[0.65189363 0.65084227],adam,0.2818742826153646,0.6515311510031679
0,HOS,0,6,0.6881152259515063,0.48968394833662715,0.6278713629402757,0.6623690572119258,0.6448895740521142,0.27806626681675767,0.6504751847940866,410,822,419,243,1241,653,0.7718309859154929,0.4945717732207479,0.6623690572119258,0.6278713629402757,0.7129228100607112,0.553306342780027,1.7799464788452166,1.8596380940546111,0.3721286370597243,0.6278713629402757,"[[822 419]
 [243 410]]","(array([0.        , 0.33763094, 1.        ]), array([0.        , 0.62787136, 1.        ]), array([2, 1, 0]))",0.9,,0.438827347727279,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.66      0.63      0.71      0.64      0.42      1241
          1       0.49      0.63      0.66      0.55      0.64      0.41       653

avg / total       0.68      0.65      0.64      0.66      0.64      0.42      1894
",0.27806626681675767,0.6504751847940866,auto,,"(array([0.66236906, 0.62787136]), array([0.62787136, 0.66236906]), array([1241,  653]))",0.6504751847940866,0.5,0.001,0.6504751847940866,[0 1 0 ... 1 1 1],[0.62787136 0.66236906],"              precision    recall  f1-score   support

           0       0.77      0.66      0.71      1241
           1       0.49      0.63      0.55       653

    accuracy                           0.65      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.65      0.66      1894
",0.0001,0.6504751847940866,0.6504751847940866,logistic,0.3495248152059134,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.66      0.63      0.71      0.64      0.42      1241
          1       0.49      0.63      0.66      0.55      0.64      0.41       653

avg / total       0.68      0.65      0.64      0.66      0.64      0.42      1894
",False,constant,12.072336327747689,"(1,)",0.3495248152059134,1.0,"[[ 1.31190719 -0.15843113 -0.02356207 -0.38203983 -0.02933617  0.81182405]
 [ 1.1113735  -0.47061925 -0.24214022 -0.39224429 -0.48924356  0.72589494]
 [-0.21523403 -0.3328892  -0.10552888  3.76607118 -0.9078649  -0.20500366]
 ...
 [-0.21690085 -0.05221711  0.41138106 -0.36576776  0.13355054  0.2318037 ]
 [ 0.26091081 -0.27962834 -0.13285115 -0.50857798 -0.9318821  -0.86093731]
 [-0.25229628 -0.39953478 -0.2615374   0.84498908  0.01303728  0.39090291]]",0.6504751847940866,0.6451202100761008,"(0.6504751847940866, 0.6504751847940866, None)",[0.66236906 0.62787136],adam,0.27282027845408463,0.6504751847940866
36,HOS,0,7,0.6875969460976612,0.4898172815551345,0.6462480857580398,0.6486704270749396,0.6474581235763668,0.28159244260510513,0.6478352692713834,422,805,436,231,1241,653,0.777027027027027,0.49184149184149184,0.6486704270749396,0.6462480857580398,0.707070707070707,0.5585704831237591,1.8336873977486388,1.8394354918021274,0.3537519142419602,0.6462480857580398,"[[805 436]
 [231 422]]","(array([0.        , 0.35132957, 1.        ]), array([0.        , 0.64624809, 1.        ]), array([2, 1, 0]))",0.9,,0.4398157197478339,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",0.28159244260510513,0.6478352692713834,auto,,"(array([0.64867043, 0.64624809]), array([0.64624809, 0.64867043]), array([1241,  653]))",0.6478352692713834,0.5,0.001,0.6478352692713834,[0 1 0 ... 1 1 1],[0.64624809 0.64867043],"              precision    recall  f1-score   support

           0       0.78      0.65      0.71      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.65      0.66      1894
",0.0001,0.6478352692713834,0.6478352692713834,logistic,0.3521647307286167,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",False,constant,12.163522956644663,"(1,)",0.35216473072861665,1.0,"[[ 1.25266912e+00 -1.47976520e-01 -1.96535074e-02 -3.80045080e-01
  -2.74461337e-03  7.74119467e-01]
 [ 1.06047068e+00 -4.51275909e-01 -2.43712142e-01 -3.90359643e-01
  -4.70830968e-01  6.91675472e-01]
 [-2.10995891e-01 -3.17467355e-01 -1.03675495e-01  3.81282480e+00
  -8.96897044e-01 -2.01467804e-01]
 ...
 [ 2.62146198e+00 -2.49492880e-01 -2.66161682e-01 -2.60190170e-01
   1.62249081e+00 -3.00486310e-01]
 [-2.74666646e-01 -2.82045784e-01  1.22379357e-02 -3.89493695e-01
  -7.09563943e-01 -5.08376779e-01]
 [-2.60854975e-01 -2.92982351e-01 -1.80224522e-01 -2.82343912e-01
  -8.41173070e-01 -1.02590775e+00]]",0.6478352692713834,0.6474592564164896,"(0.6478352692713834, 0.6478352692713834, None)",[0.64867043 0.64624809],adam,0.27450286742097507,0.6478352692713834
324,HOS,0,8,0.6902216633574909,0.49172647713280726,0.6539050535987749,0.6406124093473006,0.6472246069721754,0.2808235590836142,0.6451953537486801,427,795,446,226,1241,653,0.7786483839373164,0.48911798396334477,0.6406124093473006,0.6539050535987749,0.7029177718832891,0.5596330275229358,1.8509730234680855,1.8194981424127348,0.34609494640122507,0.6539050535987749,"[[795 446]
 [226 427]]","(array([0.        , 0.35938759, 1.        ]), array([0.        , 0.65390505, 1.        ]), array([2, 1, 0]))",0.9,,0.43916090314586365,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.65      0.70      0.65      0.42      1241
          1       0.49      0.65      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.65      0.65      0.42      1894
",0.2808235590836142,0.6451953537486801,auto,,"(array([0.64061241, 0.65390505]), array([0.65390505, 0.64061241]), array([1241,  653]))",0.6451953537486801,0.5,0.001,0.6451953537486801,[0 1 0 ... 1 1 1],[0.65390505 0.64061241],"              precision    recall  f1-score   support

           0       0.78      0.64      0.70      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.65      0.65      1894
",0.0001,0.6451953537486801,0.6451953537486801,logistic,0.35480464625131997,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.65      0.70      0.65      0.42      1241
          1       0.49      0.65      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.65      0.65      0.42      1894
",False,constant,12.2547066303241,"(1,)",0.3548046462513199,1.0,"[[ 1.35138669 -0.15193042 -0.02021615 -0.38033359  0.01066264  0.8284747 ]
 [ 1.1476872  -0.45631584 -0.23085013 -0.39047443 -0.4577695   0.74229284]
 [-0.19986327 -0.32202815 -0.0992039   3.74192011 -0.88415032 -0.19134403]
 ...
 [-0.47069143  1.35338085  0.64724755  0.26679112  0.79035729  0.41571788]
 [-0.60939078 -0.33584519 -0.17103839 -0.46377566 -0.21415016 -0.29886024]
 [-0.58752645 -0.20017813 -0.16794185 -0.5478508  -0.82405595  0.27354573]]",0.6451953537486801,0.6472587314730377,"(0.6451953537486801, 0.6451953537486801, None)",[0.64061241 0.65390505],adam,0.27274805068950103,0.6451953537486801
288,HOS,0,9,0.6913236250467377,0.49693401417144245,0.664624808575804,0.6325543916196615,0.6483913489891746,0.2830082078603341,0.643611404435058,434,785,456,219,1241,653,0.7818725099601593,0.48764044943820223,0.6325543916196615,0.664624808575804,0.6993318485523385,0.5625405055087491,1.886109669989219,1.80877058649687,0.33537519142419603,0.664624808575804,"[[785 456]
 [219 434]]","(array([0.        , 0.36744561, 1.        ]), array([0.        , 0.66462481, 1.        ]), array([2, 1, 0]))",0.9,,0.43972624025608753,1000,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.63      0.66      0.70      0.65      0.42      1241
          1       0.49      0.66      0.63      0.56      0.65      0.42       653

avg / total       0.68      0.64      0.65      0.65      0.65      0.42      1894
",0.2830082078603341,0.643611404435058,auto,,"(array([0.63255439, 0.66462481]), array([0.66462481, 0.63255439]), array([1241,  653]))",0.643611404435058,0.5,0.001,0.643611404435058,[0 1 1 ... 1 1 1],[0.66462481 0.63255439],"              precision    recall  f1-score   support

           0       0.78      0.63      0.70      1241
           1       0.49      0.66      0.56       653

    accuracy                           0.64      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.64      0.65      1894
",0.0001,0.643611404435058,0.643611404435058,logistic,0.3563885955649419,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.63      0.66      0.70      0.65      0.42      1241
          1       0.49      0.66      0.63      0.56      0.65      0.42       653

avg / total       0.68      0.64      0.65      0.65      0.65      0.42      1894
",False,constant,12.309418523227498,"(1,)",0.35638859556494196,1.0,"[[ 1.35368128 -0.14946114 -0.03166623 -0.38195086  0.00590797  0.78950021]
 [ 1.14994649 -0.47789396 -0.22957728 -0.3920457  -0.46620509  0.70705916]
 [-0.75027225 -0.01905399 -0.13062176 -0.43494879  0.20500367 -0.15170174]
 ...
 [-0.21092992 -0.23639924 -0.02352247 -0.41728281 -0.7802422  -0.53459216]
 [ 3.84171607  0.03610491 -0.29666573 -0.38898301 -0.47326825  0.82173115]
 [-0.34634904 -0.26537861 -0.08527054 -0.14808561  1.40265238  0.93542935]]",0.643611404435058,0.6485896000977328,"(0.643611404435058, 0.643611404435058, None)",[0.63255439 0.66462481],adam,0.27365004982665786,0.643611404435058
