,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,zero_one_loss,imb_spec,hamming_loss,rec_score,accuracy,imb_report_0.3,fbeta_score,imb_sens,roc_auc_score,f1_score,imb_spec_micro,cohen_kappa_score,priors,roc_curve,log_loss,hinge_loss,prec_score,X,y,confusion_matrix,imb_sens_spec_supp_micro,pr_curve,imb_report_0.1,avg_prec_score,imb_sens_micro,imb_sens_spec_supp,matthews_corrcoef,bal_report
4,HOS,0,0,0.6899020208205757,0.47650287164475935,0.6778169014084507,0.6252173913043478,0.6509861095911248,0.28547397209584735,0.6426076833527358,385,719,431,183,1150,568,0.7971175166297118,0.47181372549019607,0.6252173913043478,0.6778169014084507,0.7007797270955165,0.5563583815028902,1.9405654549774296,1.8085601777719684,0.32218309859154926,0.6778169014084507,0.35739231664726423,[0.6778169  0.62521739],0.3573923166472643,0.6426076833527358,0.6426076833527358,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.63      0.68      0.70      0.65      0.42      1150
          1       0.47      0.68      0.63      0.56      0.65      0.43       568

avg / total       0.69      0.64      0.66      0.65      0.65      0.42      1718
",0.6426076833527358,[0.62521739 0.6778169 ],0.6515171463563993,0.6426076833527358,0.6426076833527358,0.2728849356464581,,"(array([0.        , 0.37478261, 1.        ]), array([0.       , 0.6778169, 1.       ]), array([2, 1, 0]))",12.344093907431649,,0.6426076833527358,"[[-0.96137856 -0.7022775  -0.30936208 ...  0.50343836 -0.4864215
  -0.83515021]
 [-1.64625388  0.11257895 -0.4356932  ... -0.22098008 -0.26956892
  -0.34978942]
 [-0.27650324 -0.69519179 -0.4356932  ...  0.5839293  -0.77104051
  -0.65538696]
 ...
 [-0.60783953 -0.40219866  0.2859421  ...  1.28289576  0.22274318
  -0.05879263]
 [-0.73498159 -0.14772045  0.79532778 ...  0.14644316 -0.92602535
   1.17232106]
 [-0.12616299 -0.4453264  -0.20994073 ...  0.23487203 -0.57098085
   0.35497166]]",[0 1 1 ... 1 1 1],"[[719 431]
 [183 385]]","(0.6426076833527358, 0.6426076833527358, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.63      0.68      0.70      0.65      0.42      1150
          1       0.47      0.68      0.63      0.56      0.65      0.43       568

avg / total       0.69      0.64      0.66      0.65      0.65      0.42      1718
",0.4263225258355814,0.6426076833527358,"(array([0.62521739, 0.6778169 ]), array([0.6778169 , 0.62521739]), array([1150,  568]))",0.28547397209584735,"              precision    recall  f1-score   support

           0       0.80      0.63      0.70      1150
           1       0.47      0.68      0.56       568

    accuracy                           0.64      1718
   macro avg       0.63      0.65      0.63      1718
weighted avg       0.69      0.64      0.65      1718
"
5,HOS,0,1,0.6979102878138396,0.48433334827918506,0.7658450704225352,0.5252173913043479,0.6342201116573162,0.276656602072592,0.6047729918509895,435,604,546,133,1150,568,0.819538670284939,0.4434250764525994,0.5252173913043479,0.7658450704225352,0.640169581346052,0.5616526791478373,2.243033671134358,1.613043646494351,0.23415492957746475,0.7658450704225352,0.39522700814901046,[0.76584507 0.52521739],0.39522700814901046,0.6047729918509895,0.6047729918509895,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.53      0.77      0.64      0.63      0.37      1150
          1       0.44      0.77      0.53      0.56      0.63      0.43       568

avg / total       0.70      0.60      0.69      0.61      0.63      0.39      1718
",0.6047729918509895,[0.52521739 0.76584507],0.6455312308634416,0.6047729918509895,0.6047729918509895,0.2458316254688816,,"(array([0.        , 0.47478261, 1.        ]), array([0.        , 0.76584507, 1.        ]), array([2, 1, 0]))",13.65091138087383,,0.6047729918509895,"[[-0.9789647  -0.69702523 -0.30590428 ...  0.51582132 -0.47889741
  -0.80889268]
 [-1.66433592  0.12761657 -0.43482291 ... -0.2274518  -0.25924737
  -0.34020022]
 [-1.25311319 -0.08033658 -0.33168801 ... -0.1448659   0.4683434
   1.15267206]
 ...
 [ 1.06161907 -0.36556038 -0.25920546 ... -0.46585289 -0.05257978
  -0.22103577]
 [-0.32853019 -0.55543692  0.11818057 ...  0.69718826  3.24479999
   1.03712373]
 [-0.73728068 -0.20771262 -0.11132033 ...  0.53683011  0.3628529
  -0.04372791]]",[0 1 1 ... 1 1 1],"[[604 546]
 [133 435]]","(0.6047729918509895, 0.6047729918509895, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.53      0.77      0.64      0.63      0.39      1150
          1       0.44      0.77      0.53      0.56      0.63      0.41       568

avg / total       0.70      0.60      0.69      0.61      0.63      0.40      1718
",0.4170105084373013,0.6047729918509895,"(array([0.52521739, 0.76584507]), array([0.76584507, 0.52521739]), array([1150,  568]))",0.276656602072592,"              precision    recall  f1-score   support

           0       0.82      0.53      0.64      1150
           1       0.44      0.77      0.56       568

    accuracy                           0.60      1718
   macro avg       0.63      0.65      0.60      1718
weighted avg       0.70      0.60      0.61      1718
"
7,HOS,0,2,0.6954516227801593,0.4806726940211845,0.778169014084507,0.49130434782608695,0.6183185424708351,0.25853222456954755,0.5861466821885913,442,565,585,126,1150,568,0.8176555716353111,0.43037974683544306,0.49130434782608695,0.778169014084507,0.6137968495382944,0.55423197492163,2.2147688060731534,1.529733959311424,0.221830985915493,0.778169014084507,0.41385331781140866,[0.77816901 0.49130435],0.4138533178114086,0.5861466821885913,0.5861466821885913,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.49      0.78      0.61      0.62      0.35      1150
          1       0.43      0.78      0.49      0.55      0.62      0.42       568

avg / total       0.69      0.59      0.68      0.59      0.62      0.37      1718
",0.5861466821885913,[0.49130435 0.77816901],0.634736680955297,0.5861466821885913,0.5861466821885913,0.22372513406095051,,"(array([0.        , 0.50869565, 1.        ]), array([0.        , 0.77816901, 1.        ]), array([2, 1, 0]))",14.294259476879022,,0.5861466821885913,"[[-0.97617834 -0.70867215 -0.33049123 ...  0.50215253 -0.4873796
  -0.80690573]
 [-1.65467396  0.13455016 -0.46726504 ... -0.21575107 -0.27117887
  -0.33296901]
 [-0.29768271 -0.70133978 -0.46726504 ...  0.5819196  -0.77114307
  -0.63137361]
 ...
 [ 1.05719686 -0.60595053  0.04256257 ...  0.42114417 -0.6096654
   0.19056802]
 [ 2.7386445   0.79901717  4.52856568 ... -0.56874125  0.2466505
   0.11251276]
 [ 1.04132774 -0.30927821 -0.03420463 ... -0.05621693 -0.61843451
  -0.14071944]]",[0 1 1 ... 1 1 1],"[[565 585]
 [126 442]]","(0.5861466821885913, 0.5861466821885913, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.49      0.78      0.61      0.62      0.37      1150
          1       0.43      0.78      0.49      0.55      0.62      0.39       568

avg / total       0.69      0.59      0.68      0.59      0.62      0.38      1718
",0.4082492775725691,0.5861466821885913,"(array([0.49130435, 0.77816901]), array([0.77816901, 0.49130435]), array([1150,  568]))",0.25853222456954755,"              precision    recall  f1-score   support

           0       0.82      0.49      0.61      1150
           1       0.43      0.78      0.55       568

    accuracy                           0.59      1718
   macro avg       0.62      0.63      0.58      1718
weighted avg       0.69      0.59      0.59      1718
"
6,HOS,0,3,0.6955894060012247,0.4831959931804047,0.7623239436619719,0.5121739130434783,0.6248539327171497,0.2615167862073997,0.5948777648428405,433,589,561,135,1150,568,0.81353591160221,0.43561368209255535,0.5121739130434783,0.7623239436619719,0.6286019210245464,0.5544174135723432,2.1549243156199682,1.5626961411965554,0.23767605633802813,0.7623239436619719,0.4051222351571595,[0.76232394 0.51217391],0.4051222351571595,0.5948777648428405,0.5948777648428405,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.51      0.76      0.63      0.62      0.36      1150
          1       0.44      0.76      0.51      0.55      0.62      0.42       568

avg / total       0.69      0.59      0.68      0.60      0.62      0.38      1718
",0.5948777648428405,[0.51217391 0.76232394],0.6372489283527251,0.5948777648428405,0.5948777648428405,0.23071261480816196,,"(array([0.        , 0.48782609, 1.        ]), array([0.        , 0.76232394, 1.        ]), array([2, 1, 0]))",13.992687395236423,,0.5948777648428405,"[[-0.97663058 -0.71539274 -0.31832    ...  0.50519359 -0.48946751
  -0.79868834]
 [-1.65988284  0.10832147 -0.45211916 ... -0.22401415 -0.27244881
  -0.32714292]
 [-0.29337832 -0.70823001 -0.45211916 ...  0.58621667 -0.77430456
  -0.62404189]
 ...
 [-0.35007732 -0.71470827  0.8847808  ...  0.54872728  0.26768754
  -0.2000155 ]
 [-0.83998013 -0.82283372  0.67507975 ...  0.76058182  1.2468411
  -0.72882976]
 [-0.14323563 -0.37985044 -0.17383947 ...  0.21986899 -0.47229851
   0.92151338]]",[0 1 1 ... 1 1 1],"[[589 561]
 [135 433]]","(0.5948777648428405, 0.5948777648428405, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.51      0.76      0.63      0.62      0.38      1150
          1       0.44      0.76      0.51      0.55      0.62      0.40       568

avg / total       0.69      0.59      0.68      0.60      0.62      0.39      1718
",0.41065848393415144,0.5948777648428405,"(array([0.51217391, 0.76232394]), array([0.76232394, 0.51217391]), array([1150,  568]))",0.2615167862073997,"              precision    recall  f1-score   support

           0       0.81      0.51      0.63      1150
           1       0.44      0.76      0.55       568

    accuracy                           0.59      1718
   macro avg       0.62      0.64      0.59      1718
weighted avg       0.69      0.59      0.60      1718
"
3,HOS,0,4,0.6935272504592773,0.4769709665545606,0.7623239436619719,0.548695652173913,0.6467486632652556,0.2943594492611063,0.619324796274738,433,631,519,135,1150,568,0.8237597911227154,0.45483193277310924,0.548695652173913,0.7623239436619719,0.6586638830897704,0.5697368421052631,2.30858615136876,1.689157100599745,0.23767605633802813,0.7623239436619719,0.380675203725262,[0.76232394 0.54869565],0.3806752037252619,0.619324796274738,0.619324796274738,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.55      0.76      0.66      0.65      0.39      1150
          1       0.45      0.76      0.55      0.57      0.65      0.45       568

avg / total       0.70      0.62      0.69      0.63      0.65      0.41      1718
",0.619324796274738,[0.54869565 0.76232394],0.6555097979179425,0.619324796274738,0.619324796274738,0.2655854546215147,,"(array([0.        , 0.45130435, 1.        ]), array([0.        , 0.76232394, 1.        ]), array([2, 1, 0]))",13.14829729530725,,0.619324796274738,"[[-1.67256697  0.10524541 -0.47676841 ... -0.22397715 -0.26437544
  -0.32444415]
 [-0.30549485 -0.686608   -0.47676841 ...  0.60165517 -0.77191518
  -0.62114609]
 [ 1.06157728 -0.74912274 -0.13548401 ...  0.27140224  0.06483953
  -0.55133387]
 ...
 [ 0.14360774 -0.17254223 -0.22621147 ... -0.26542418 -0.8992272
   0.50103584]
 [-0.6325866  -0.3973582  -0.34437654 ...  0.1032393  -0.78905499
  -0.50407512]
 [-1.11013317  0.99938614  0.20636418 ... -0.21455266  1.31317873
   1.58846091]]",[1 1 0 ... 1 1 1],"[[631 519]
 [135 433]]","(0.619324796274738, 0.619324796274738, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.55      0.76      0.66      0.65      0.41      1150
          1       0.45      0.76      0.55      0.57      0.65      0.43       568

avg / total       0.70      0.62      0.69      0.63      0.65      0.42      1718
",0.4253090165832356,0.619324796274738,"(array([0.54869565, 0.76232394]), array([0.76232394, 0.54869565]), array([1150,  568]))",0.2943594492611063,"              precision    recall  f1-score   support

           0       0.82      0.55      0.66      1150
           1       0.45      0.76      0.57       568

    accuracy                           0.62      1718
   macro avg       0.64      0.66      0.61      1718
weighted avg       0.70      0.62      0.63      1718
"
2,HOS,0,5,0.6950918554807104,0.4802319208737022,0.7288732394366197,0.5878260869565217,0.6545614594714175,0.2981430559185223,0.6344586728754366,414,676,474,154,1150,568,0.8144578313253013,0.46621621621621623,0.5878260869565217,0.7288732394366197,0.6828282828282828,0.5686813186813187,2.168085827216262,1.7683633446247102,0.27112676056338025,0.7288732394366197,0.36554132712456344,[0.72887324 0.58782609],0.36554132712456344,0.6344586728754366,0.6344586728754366,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.59      0.73      0.68      0.65      0.41      1150
          1       0.47      0.73      0.59      0.57      0.65      0.45       568

avg / total       0.70      0.63      0.68      0.65      0.65      0.42      1718
",0.6344586728754366,[0.58782609 0.72887324],0.6583496631965706,0.6344586728754366,0.6344586728754366,0.277184049737378,,"(array([0.        , 0.41217391, 1.        ]), array([0.        , 0.72887324, 1.        ]), array([2, 1, 0]))",12.625570771353797,,0.6344586728754366,"[[-0.96170595 -0.71868338 -0.30801513 ...  0.50084628 -0.47844353
  -0.82396591]
 [-1.63677974  0.12478601 -0.43842718 ... -0.21618692 -0.25998385
  -0.34907835]
 [-0.28663216 -0.71134886 -0.43842718 ...  0.58051663 -0.76517186
  -0.64808163]
 ...
 [-3.2686657  -0.16768122 -0.28918319 ... -0.20295763 -0.32933562
  -0.65544808]
 [-1.49129336 -0.66038648  0.14610291 ...  1.93285295  0.35655194
  -0.27872464]
 [ 0.72334606 -0.63637855 -0.36528426 ...  0.17177056  0.924644
   0.1236267 ]]",[0 1 1 ... 1 1 1],"[[676 474]
 [154 414]]","(0.6344586728754366, 0.6344586728754366, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.59      0.73      0.68      0.65      0.42      1150
          1       0.47      0.73      0.59      0.57      0.65      0.43       568

avg / total       0.70      0.63      0.68      0.65      0.65      0.43      1718
",0.42945163904168804,0.6344586728754366,"(array([0.58782609, 0.72887324]), array([0.72887324, 0.58782609]), array([1150,  568]))",0.2981430559185223,"              precision    recall  f1-score   support

           0       0.81      0.59      0.68      1150
           1       0.47      0.73      0.57       568

    accuracy                           0.63      1718
   macro avg       0.64      0.66      0.63      1718
weighted avg       0.70      0.63      0.65      1718
"
0,HOS,0,6,0.694397581139008,0.4847192166167641,0.7147887323943662,0.5982608695652174,0.653934345785319,0.29455535222777407,0.6367869615832363,406,688,462,162,1150,568,0.8094117647058824,0.46774193548387094,0.5982608695652174,0.7147887323943662,0.688,0.5654596100278552,2.0976060118089106,1.7792360221937689,0.28521126760563376,0.7147887323943662,0.36321303841676367,[0.71478873 0.59826087],0.36321303841676367,0.6367869615832363,0.6367869615832363,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.60      0.71      0.69      0.65      0.41      1150
          1       0.47      0.71      0.60      0.57      0.65      0.44       568

avg / total       0.70      0.64      0.68      0.65      0.65      0.42      1718
",0.6367869615832364,[0.59826087 0.71478873],0.6565248009797919,0.6367869615832363,0.6367869615832363,0.27614314652261984,,"(array([0.        , 0.40173913, 1.        ]), array([0.        , 0.71478873, 1.        ]), array([2, 1, 0]))",12.545148943211304,,0.6367869615832363,"[[-0.96656975 -0.69211894 -0.33419854 ...  0.5146591  -0.4891652
  -0.8046034 ]
 [-1.64750907  0.11746878 -0.47686464 ... -0.2337649  -0.26944886
  -0.33095924]
 [-0.28563044 -0.68507905 -0.47686464 ...  0.59781732 -0.77754288
  -0.62917963]
 ...
 [ 1.09964794 -0.50699318 -0.01424307 ...  0.26518443 -0.94533458
   0.19529133]
 [-0.62363414 -0.5939515  -0.27061527 ...  0.32123916  0.61469462
   0.58227693]
 [ 0.73084212  0.90856965 -0.46517555 ...  0.54020941  0.80787852
   0.83349921]]",[0 1 1 ... 1 1 1],"[[688 462]
 [162 406]]","(0.6367869615832363, 0.6367869615832363, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.60      0.71      0.69      0.65      0.42      1150
          1       0.47      0.71      0.60      0.57      0.65      0.43       568

avg / total       0.70      0.64      0.68      0.65      0.65      0.43      1718
",0.4286323578180941,0.6367869615832363,"(array([0.59826087, 0.71478873]), array([0.71478873, 0.59826087]), array([1150,  568]))",0.29455535222777407,"              precision    recall  f1-score   support

           0       0.81      0.60      0.69      1150
           1       0.47      0.71      0.57       568

    accuracy                           0.64      1718
   macro avg       0.64      0.66      0.63      1718
weighted avg       0.70      0.64      0.65      1718
"
1,HOS,0,7,0.6951837109614207,0.48143855790999224,0.7799295774647887,0.49826086956521737,0.6233846240221507,0.2664633620507134,0.5913853317811408,443,573,577,125,1150,568,0.8209169054441261,0.4343137254901961,0.49826086956521737,0.7799295774647887,0.6201298701298701,0.5579345088161209,2.264097391304348,1.5544523640979322,0.22007042253521125,0.7799295774647887,0.40861466821885917,[0.77992958 0.49826087],0.4086146682188591,0.5913853317811408,0.5913853317811408,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.50      0.78      0.62      0.62      0.36      1150
          1       0.43      0.78      0.50      0.56      0.62      0.42       568

avg / total       0.69      0.59      0.69      0.60      0.62      0.38      1718
",0.5913853317811408,[0.49826087 0.77992958],0.639095223515003,0.5913853317811408,0.5913853317811408,0.23156185806109597,,"(array([0.        , 0.50173913, 1.        ]), array([0.        , 0.77992958, 1.        ]), array([2, 1, 0]))",14.113319206603329,,0.5913853317811408,"[[-0.94912129 -0.7050547  -0.32221328 ...  0.51123117 -0.49333962
  -0.81968329]
 [-1.62834009  0.12021903 -0.45853752 ... -0.23180699 -0.27947511
  -0.34473363]
 [-0.26990249 -0.69787841 -0.45853752 ...  0.59379097 -0.77403679
  -0.643776  ]
 ...
 [ 0.10134758 -0.65978448 -0.31934978 ... -0.18826615 -0.53042025
   0.25178175]
 [ 0.00547623 -0.50280226 -0.07584186 ...  0.01699407 -0.50407295
  -0.34162674]
 [-0.55419149 -0.29500743 -0.37550365 ... -0.06477275  1.04346439
   1.14236822]]",[0 1 1 ... 1 1 1],"[[573 577]
 [125 443]]","(0.5913853317811408, 0.5913853317811408, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.50      0.78      0.62      0.62      0.38      1150
          1       0.43      0.78      0.50      0.56      0.62      0.40       568

avg / total       0.69      0.59      0.69      0.60      0.62      0.38      1718
",0.4114931425274696,0.5913853317811408,"(array([0.49826087, 0.77992958]), array([0.77992958, 0.49826087]), array([1150,  568]))",0.2664633620507134,"              precision    recall  f1-score   support

           0       0.82      0.50      0.62      1150
           1       0.43      0.78      0.56       568

    accuracy                           0.59      1718
   macro avg       0.63      0.64      0.59      1718
weighted avg       0.69      0.59      0.60      1718
"
9,HOS,0,8,0.6957853643600735,0.4812756941628168,0.772887323943662,0.5165217391304348,0.6318331304349654,0.2757747669716272,0.6012805587892899,439,594,556,129,1150,568,0.8215767634854771,0.44120603015075377,0.5165217391304348,0.772887323943662,0.6342765616657767,0.5617402431222009,2.2742972699696664,1.5985978822575742,0.227112676056338,0.772887323943662,0.3987194412107101,[0.77288732 0.51652174],0.3987194412107101,0.6012805587892899,0.6012805587892899,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.52      0.77      0.63      0.63      0.37      1150
          1       0.44      0.77      0.52      0.56      0.63      0.43       568

avg / total       0.70      0.60      0.69      0.61      0.63      0.39      1718
",0.6012805587892899,[0.51652174 0.77288732],0.6447045315370484,0.6012805587892899,0.6012805587892899,0.2431542837738937,,"(array([0.        , 0.48347826, 1.        ]), array([0.        , 0.77288732, 1.        ]), array([2, 1, 0]))",13.771540399700234,,0.6012805587892899,"[[-0.96126784 -0.7014075  -0.32486557 ...  0.50929837 -0.49960031
  -0.80706343]
 [-1.64003971  0.11280218 -0.46188835 ... -0.22542784 -0.27730754
  -0.33346526]
 [-0.28249597 -0.69432742 -0.46188835 ...  0.59093461 -0.79135956
  -0.6316567 ]
 ...
 [ 0.04285648  0.10801639 -0.30807594 ...  0.39528307  0.64450379
   1.04828083]
 [ 0.85463763  1.0439526  -0.30116884 ... -0.0952914   2.85186508
  -0.26083892]
 [-0.37522569 -0.59849536 -0.2786428  ... -0.02334587 -0.73730428
  -0.29992017]]",[0 1 1 ... 1 1 1],"[[594 556]
 [129 439]]","(0.6012805587892899, 0.6012805587892899, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.82      0.52      0.77      0.63      0.63      0.39      1150
          1       0.44      0.77      0.52      0.56      0.63      0.41       568

avg / total       0.70      0.60      0.69      0.61      0.63      0.40      1718
",0.4160898587775652,0.6012805587892899,"(array([0.51652174, 0.77288732]), array([0.77288732, 0.51652174]), array([1150,  568]))",0.2757747669716272,"              precision    recall  f1-score   support

           0       0.82      0.52      0.63      1150
           1       0.44      0.77      0.56       568

    accuracy                           0.60      1718
   macro avg       0.63      0.64      0.60      1718
weighted avg       0.70      0.60      0.61      1718
"
8,HOS,0,9,0.6946172688303736,0.4772329455634716,0.7816901408450704,0.5234782608695652,0.6396857005346164,0.29062870364631493,0.6088474970896391,444,602,548,124,1150,568,0.8292011019283747,0.4475806451612903,0.5234782608695652,0.7816901408450704,0.6417910447761194,0.5692307692307692,2.3978681626928466,1.6404081422843628,0.21830985915492962,0.7816901408450704,0.39115250291036086,[0.78169014 0.52347826],0.3911525029103609,0.6088474970896391,0.6088474970896391,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.83      0.52      0.78      0.64      0.64      0.38      1150
          1       0.45      0.78      0.52      0.57      0.64      0.44       568

avg / total       0.70      0.61      0.70      0.62      0.64      0.40      1718
",0.6088474970896391,[0.52347826 0.78169014],0.6525842008573177,0.6088474970896391,0.6088474970896391,0.2566831147692973,,"(array([0.        , 0.47652174, 1.        ]), array([0.        , 0.78169014, 1.        ]), array([2, 1, 0]))",13.510183886363052,,0.6088474970896391,"[[-0.98672069 -0.7101324  -0.31248474 ...  0.50679981 -0.47356069
  -0.8009156 ]
 [-0.30504291 -0.70285969 -0.43846424 ...  0.58791027 -0.76409283
  -0.62639903]
 [-1.2593918  -0.08467937 -0.33768064 ... -0.14208386  0.48104491
   1.17112157]
 ...
 [-0.63178298  0.70513071  0.08391644 ...  1.20497255  0.46237249
  -0.14783654]
 [ 1.22008115 -0.52104195 -0.43846424 ... -0.0609734  -0.85082449
  -1.22092926]
 [-1.62940055  0.89818499  0.01627285 ...  0.32156475 -0.49106588
   0.25844234]]",[0 1 1 ... 1 1 1],"[[602 548]
 [124 444]]","(0.6088474970896391, 0.6088474970896391, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.83      0.52      0.78      0.64      0.64      0.40      1150
          1       0.45      0.78      0.52      0.57      0.64      0.42       568

avg / total       0.70      0.61      0.70      0.62      0.64      0.41      1718
",0.4220463274974493,0.6088474970896391,"(array([0.52347826, 0.78169014]), array([0.78169014, 0.52347826]), array([1150,  568]))",0.29062870364631493,"              precision    recall  f1-score   support

           0       0.83      0.52      0.64      1150
           1       0.45      0.78      0.57       568

    accuracy                           0.61      1718
   macro avg       0.64      0.65      0.61      1718
weighted avg       0.70      0.61      0.62      1718
"
